epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6281,2.25715,2.51944,1.29561,0.35816,0.20206,0.13156,0.0534,2.7353,4.69125,2.35287,0.000332134,0.000332134,0.000332134
2,152.79,2.32073,2.1256,1.33095,0.32505,0.1824,0.12934,0.05126,2.83961,3.69622,2.40057,0.000652291,0.000652291,0.000652291
3,226.678,2.35237,2.02861,1.28864,0.11689,0.20755,0.13528,0.05247,2.61418,3.43762,2.11239,0.000959248,0.000959248,0.000959248
4,300.681,2.31299,1.97327,1.2614,0.34298,0.1447,0.14943,0.06107,2.55864,3.70791,2.10627,0.0009406,0.0009406,0.0009406
5,375.298,2.24054,1.96658,1.25946,0.38186,0.22237,0.17596,0.07024,2.49758,3.46632,2.03939,0.0009208,0.0009208,0.0009208
6,450.078,2.26768,1.93704,1.25401,0.45343,0.22453,0.19341,0.07782,2.50896,3.19517,2.05722,0.000901,0.000901,0.000901
7,524,2.20076,1.77807,1.20523,0.29884,0.29273,0.2173,0.0929,2.30054,3.03772,1.94413,0.0008812,0.0008812,0.0008812
8,598.007,2.18314,1.8154,1.21183,0.28773,0.32244,0.22292,0.09175,2.39256,3.94481,2.03346,0.0008614,0.0008614,0.0008614
9,671.605,2.17093,1.71574,1.19839,0.24733,0.28621,0.21599,0.08745,2.2849,2.73328,1.92327,0.0008416,0.0008416,0.0008416
10,745.533,2.14073,1.7002,1.19617,0.24499,0.30505,0.20322,0.08518,2.28472,2.70379,1.89523,0.0008218,0.0008218,0.0008218
11,819.893,2.13172,1.66162,1.18829,0.25864,0.33663,0.19939,0.08169,2.32986,2.69411,1.97388,0.000802,0.000802,0.000802
12,893.762,2.0936,1.662,1.18165,0.32591,0.34457,0.24201,0.10192,2.20119,2.74181,1.84789,0.0007822,0.0007822,0.0007822
13,967.554,2.0816,1.65599,1.17731,0.26933,0.3245,0.24275,0.10287,2.35599,2.62552,1.95517,0.0007624,0.0007624,0.0007624
14,1041.28,2.06249,1.60011,1.1583,0.24781,0.34908,0.26241,0.11002,2.17921,2.50372,1.80287,0.0007426,0.0007426,0.0007426
15,1115.19,2.04862,1.5797,1.15503,0.32933,0.36476,0.2856,0.12175,2.06431,2.30959,1.79045,0.0007228,0.0007228,0.0007228
16,1188.7,2.03692,1.55738,1.14557,0.49781,0.32041,0.29245,0.12794,2.15173,2.41323,1.81353,0.000703,0.000703,0.000703
17,1263.85,2.03862,1.55047,1.15313,0.34829,0.34997,0.28012,0.12129,2.15433,2.46822,1.81006,0.0006832,0.0006832,0.0006832
